ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1964,0.062531345,0.13499194,0.17839533,0.24436554,0.33343571,0.37634504,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.053085104,0.095964983,0.099534377,0.11838675,-0.019592,0.0081900004,0.029294999,0.0078210002
724,1965,0.072460607,0.11586399,0.18183419,0.27090436,0.31381369,0.36030841,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.062531345,0.053085104,0.095964983,0.099534377,0.042759001,-0.019592,0.0081900004,0.029294999
724,1966,0.043403383,0.10937358,0.19844374,0.24135306,0.28784782,0.36934528,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.072460607,0.062531345,0.053085104,0.095964983,0.0073239999,0.042759001,-0.019592,0.0081900004
724,1967,0.065970205,0.15504035,0.19794968,0.24444441,0.32594186,0.4038265,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.043403383,0.072460607,0.062531345,0.053085104,0.016210999,0.0073239999,0.042759001,-0.019592
724,1968,0.089070156,0.1319795,0.17847423,0.25997168,0.33785632,0.39404419,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.065970205,0.043403383,0.072460607,0.062531345,0.042750001,0.016210999,0.0073239999,0.042759001
724,1969,0.042909332,0.089404069,0.17090154,0.24878618,0.30497405,0.31039608,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.089070156,0.065970205,0.043403383,0.072460607,0.034309998,0.042750001,0.016210999,0.0073239999
724,1970,0.046494737,0.1279922,0.20587686,0.26206473,0.26748675,0.30052465,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.042909332,0.089070156,0.065970205,0.043403383,0.0077900002,0.034309998,0.042750001,0.016210999
724,1971,0.081497461,0.1593821,0.21556996,0.22099198,0.2540299,0.28241563,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.046494737,0.042909332,0.089070156,0.065970205,0.022629,0.0077900002,0.034309998,0.042750001
724,1972,0.077884652,0.13407251,0.13949454,0.17253245,0.2009182,0.21554823,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.081497461,0.046494737,0.042909332,0.089070156,0.032202002,0.022629,0.0077900002,0.034309998
724,1973,0.056187857,0.06160989,0.09464781,0.12303355,0.13766359,0.13807905,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.077884652,0.081497461,0.046494737,0.042909332,0.036114,0.032202002,0.022629,0.0077900002
